District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,End of School Year
Rockland,2510000,     175.2,100.0,  12.4 to 1,78.0,92.9,94.8,2021
Rockport,2520000,      89.2,99.4,   8.5 to 1,83.5,94.1,92.5,2021
Rowe,2530000,       8.3,100.0,   7.6 to 1,88.0,100.0,90.0,2021
Roxbury Preparatory Charter (District),4840000,      86.3,76.8,  18.5 to 1,39.2,84.8,46.1,2021
Sabis International Charter (District),4410000,      85.3,85.9,  18.3 to 1,75.4,76.6,80.0,2021
Salem,2580000,     323.6,99.2,  11.5 to 1,79.4,90.5,93.6,2021
Salem Academy Charter (District),4850000,      44.4,83.3,  11.1 to 1,61.0,76.1,60.7,2021
Sandwich,2610000,     209.1,99.0,  11.1 to 1,87.4,92.1,94.1,2021
Saugus,2620000,     174.3,98.7,  13.2 to 1,88.2,93.6,96.1,2021
Savoy,2630000,       5.6,100.0,   7.9 to 1,86.5,96.4,75.0,2021
Scituate,2640000,     241.1,99.6,  11.8 to 1,90.4,97.3,98.0,2021
Seekonk,2650000,     165.8,99.9,  12.3 to 1,95.2,97.0,94.9,2021
Sharon,2660000,     244.8,100.0,  14.3 to 1,86.7,94.4,97.1,2021
Shawsheen Valley Regional Vocational Technical,8710000,     124.6,98.4,  10.5 to 1,92.9,92.7,93.0,2021
Sherborn,2690000,      33.5,100.0,  11.7 to 1,77.8,99.4,100.0,2021
Shrewsbury,2710000,     400.8,99.8,  14.9 to 1,90.7,96.1,96.0,2021
Shutesbury,2720000,      15.6,100.0,   7.2 to 1,84.6,87.2,94.4,2021
Silver Lake,7600000,     133.6,100.0,  12.7 to 1,90.6,91.8,98.0,2021
Sizer School: A North Central Charter Essential (District),4740000,      38.7,89.4,   9.4 to 1,60.8,71.5,83.7,2021
Somerset,2730000,     124.1,100.0,  12.9 to 1,90.5,96.0,100.0,2021
Somerset Berkley Regional School District,7630000,      77.2,98.7,  13.0 to 1,89.5,93.4,93.0,2021
Somerville,2740000,     424.1,98.1,  11.1 to 1,85.6,95.9,90.0,2021
South Hadley,2780000,     142.0,100.0,  12.4 to 1,90.7,92.2,96.0,2021
South Middlesex Regional Vocational Technical,8290000,      83.1,97.6,   9.8 to 1,77.0,81.9,96.6,2021
South Shore Charter Public (District),4880000,     101.3,87.4,  10.0 to 1,72.2,82.8,78.6,2021
South Shore Regional Vocational Technical,8730000,      60.2,93.4,  10.7 to 1,86.7,71.8,90.3,2021
Southampton,2750000,      38.4,100.0,  11.7 to 1,94.8,100.0,100.0,2021
Southborough,2760000,     107.3,100.0,  11.3 to 1,90.7,98.8,98.3,2021
Southbridge,2770000,     156.8,98.1,  11.9 to 1,63.8,79.6,90.9,2021
Southeastern Regional Vocational Technical,8720000,     115.3,95.7,  13.2 to 1,82.6,87.0,87.7,2021
Southern Berkshire,7650000,      73.7,100.0,   8.8 to 1,85.1,93.2,100.0,2021
Southern Worcester County Regional Vocational Technical,8760000,     110.2,99.1,  10.6 to 1,85.3,89.8,99.1,2021
Southwick-Tolland-Granville Regional School District,7660000,     124.7,100.0,  11.2 to 1,89.6,97.6,97.7,2021
Spencer-E Brookfield,7670000,     104.4,99.0,  12.7 to 1,89.0,93.3,93.0,2021
Springfield,2810000,"   2,096.7",97.5,  11.6 to 1,73.7,90.0,91.6,2021
Springfield Preparatory Charter School (District),35100000,      31.4,55.5,  12.0 to 1,36.4,93.6,50.0,2021
Stoneham,2840000,     207.3,99.5,  10.9 to 1,77.8,94.6,96.9,2021
Stoughton,2850000,     300.1,99.7,  11.3 to 1,88.8,95.3,99.0,2021
Sturbridge,2870000,      72.2,97.2,  11.0 to 1,87.5,97.2,94.4,2021
Sturgis Charter Public (District),4890000,      91.8,55.1,   9.3 to 1,66.3,84.6,45.5,2021
Sudbury,2880000,     200.9,100.0,  12.5 to 1,87.8,98.2,99.5,2021
Sunderland,2890000,      23.1,95.7,   8.0 to 1,82.2,95.7,96.3,2021
Sutton,2900000,      92.6,100.0,  13.8 to 1,90.8,97.8,96.0,2021
Swampscott,2910000,     185.7,100.0,  11.5 to 1,90.0,98.4,96.4,2021
Swansea,2920000,     161.8,100.0,  12.5 to 1,91.8,97.3,100.0,2021
TEC Connections Academy Commonwealth Virtual School District,39020000,      86.9,100.0,  28.9 to 1,79.3,90.7,91.1,2021
Tantasqua,7700000,     131.3,100.0,  13.5 to 1,90.4,94.4,98.6,2021
Taunton,2930000,     531.2,99.6,  14.6 to 1,90.6,94.0,98.0,2021
Tewksbury,2950000,     252.6,100.0,  12.6 to 1,92.2,96.4,96.9,2021
Tisbury,2960000,      39.8,100.0,   7.3 to 1,92.7,86.9,98.1,2021
Topsfield,2980000,      55.7,100.0,  10.5 to 1,85.6,99.1,100.0,2021
Tri-County Regional Vocational Technical,8780000,      84.2,98.8,  11.3 to 1,88.4,92.0,94.2,2021
Triton,7730000,     194.5,100.0,  11.2 to 1,90.0,92.8,97.6,2021
Truro,3000000,      14.2,100.0,   8.0 to 1,85.9,100.0,93.8,2021
Tyngsborough,3010000,     124.2,100.0,  12.6 to 1,89.2,94.4,94.9,2021
UP Academy Charter School of Boston (District),4800000,      35.3,85.8,   9.9 to 1,39.7,71.6,94.6,2021
UP Academy Charter School of Dorchester (District),35050000,      45.7,85.3,  15.0 to 1,30.6,85.8,92.5,2021
Up-Island Regional,7740000,      50.0,100.0,   8.0 to 1,75.5,78.3,98.3,2021
Upper Cape Cod Regional Vocational Technical,8790000,      71.7,90.2,  10.1 to 1,79.1,80.5,85.1,2021
Uxbridge,3040000,     135.1,99.3,  12.1 to 1,81.3,96.3,95.0,2021
Veritas Preparatory Charter School (District),4980000,      31.0,67.7,  13.5 to 1,51.6,93.5,29.4,2021
Wachusett,7750000,     453.6,99.7,  14.5 to 1,93.0,95.4,98.9,2021
Wakefield,3050000,     265.6,99.6,  12.5 to 1,88.5,96.0,94.5,2021
Wales,3060000,       9.5,100.0,  13.1 to 1,97.9,97.9,100.0,2021
Walpole,3070000,     282.5,100.0,  12.9 to 1,87.6,98.1,98.7,2021
Waltham,3080000,     506.2,99.9,  10.9 to 1,78.1,93.7,97.6,2021
Ware,3090000,      88.6,99.8,  12.9 to 1,89.6,92.1,98.9,2021
Wareham,3100000,     172.0,99.5,  11.6 to 1,90.3,96.7,94.4,2021
Watertown,3140000,     259.6,99.2,   9.7 to 1,84.6,96.7,93.8,2021
Wayland,3150000,     228.5,99.8,  11.8 to 1,88.1,96.2,95.7,2021
Webster,3160000,     132.9,100.0,  12.7 to 1,89.0,93.1,96.5,2021
Wellesley,3170000,     420.3,98.3,  10.5 to 1,83.4,94.8,96.9,2021
Wellfleet,3180000,      15.2,93.4,   6.8 to 1,80.2,100.0,90.0,2021
West Boylston,3220000,      86.7,100.0,  10.2 to 1,84.7,94.5,96.7,2021
West Bridgewater,3230000,      97.6,100.0,  14.1 to 1,83.2,96.9,98.0,2021
West Springfield,3320000,     323.9,100.0,  12.1 to 1,92.8,97.9,95.1,2021
Westborough,3210000,     336.1,99.2,  11.4 to 1,88.2,94.0,94.3,2021
Westfield,3250000,     413.6,98.0,  11.9 to 1,90.2,95.4,95.3,2021
Westford,3260000,     345.0,99.7,  13.7 to 1,93.5,96.5,97.4,2021
Westhampton,3270000,      15.5,100.0,   6.7 to 1,87.1,93.5,94.4,2021
Weston,3300000,     179.5,98.4,  10.6 to 1,84.1,96.2,94.7,2021
Westport,3310000,     117.4,100.0,  11.5 to 1,89.9,94.4,96.9,2021
Westwood,3350000,     242.5,100.0,  12.2 to 1,81.6,94.4,97.3,2021
Weymouth,3360000,     426.5,99.4,  13.1 to 1,88.9,95.5,97.8,2021
Whately,3370000,      12.6,100.0,   9.2 to 1,92.1,100.0,100.0,2021
Whitman-Hanson,7800000,     246.2,100.0,  14.6 to 1,87.0,96.8,98.8,2021
Whittier Regional Vocational Technical,8850000,     106.0,100.0,  11.8 to 1,91.0,89.1,91.5,2021
Williamsburg,3400000,      17.3,97.1,   6.9 to 1,73.9,94.2,90.0,2021
Wilmington,3420000,     268.9,100.0,  10.5 to 1,89.6,97.5,97.2,2021
Winchendon,3430000,      77.9,98.7,  15.1 to 1,82.8,91.0,96.3,2021
Winchester,3440000,     348.7,100.0,  12.9 to 1,81.3,95.5,98.4,2021
Winthrop,3460000,     150.2,99.2,  12.4 to 1,79.2,86.7,97.4,2021
Woburn,3470000,     361.5,98.6,  11.8 to 1,85.8,96.5,96.2,2021
Worcester,3480000,"   1,840.6",97.9,  13.0 to 1,80.2,92.2,92.3,2021
Worthington,3490000,       7.4,100.0,   8.5 to 1,59.5,83.8,88.9,2021
Wrentham,3500000,      74.2,100.0,  11.6 to 1,90.6,97.3,100.0,2021
State Totals,0,"  75,146.7",97.6,  12.1 to 1,83.1,93.5,93.7,2021
